Topic,Count,Name,Representation,Representative_Docs
95,547,95_spaceship_panels_artificial_affect,"['spaceship', 'panels', 'artificial', 'affect', 'design', 'would', 'gravity', 'how', '', '']","['How would artificial gravity panels affect spaceship design?', 'How would artificial gravity panels affect spaceship design?', 'How would artificial gravity panels affect spaceship design?']"
96,507,96_plate_authentic_providing_gold,"['plate', 'authentic', 'providing', 'gold', 'finish', 'tikz', 'an', 'to', '', '']","['Providing an Authentic Finish to a TIKZ Gold Plate', 'Providing an Authentic Finish to a TIKZ Gold Plate', 'Providing an Authentic Finish to a TIKZ Gold Plate']"
97,506,97_mining_meteorites_asteroids_cause,"['mining', 'meteorites', 'asteroids', 'cause', 'would', '', '', '', '', '']","['Would mining asteroids cause meteorites', 'Would mining asteroids cause meteorites', 'Would mining asteroids cause meteorites']"
98,473,98_cruelties_master_attack_more,"['cruelties', 'master', 'attack', 'more', 'than', 'one', 'can', 'with', 'of', '']","['Can I attack with more than one Master of Cruelties?', 'Can I attack with more than one Master of Cruelties?', 'Can I attack with more than one Master of Cruelties?']"
99,450,99_battleship_computer_vs_python,"['battleship', 'computer', 'vs', 'python', 'with', '', '', '', '', '']","['Battleship vs. computer with Python', 'Battleship vs. computer with Python', 'Battleship vs. computer with Python']"
100,447,100_progress_hour_increase_per,"['progress', 'hour', 'increase', 'per', 'there', 'why', 'is', '', '', '']","['Why is there a ""progress increase per hour""?', 'Why is there a ""progress increase per hour""?', 'Why is there a ""progress increase per hour""?']"
101,427,101_third_columns_format_here,"['third', 'columns', 'format', 'here', 'table', 'inside', 'row', 'how', 'to', '']","['How to format columns inside a Table row (here third)?', 'How to format columns inside a Table row (here third)?', 'How to format columns inside a Table row (here third)?']"
102,420,102_ndsolvevalue_solutions_plotting_functions,"['ndsolvevalue', 'solutions', 'plotting', 'functions', 'of', 'the', '', '', '', '']","['Plotting functions of the solutions of `NDSolveValue`', 'Plotting functions of the solutions of `NDSolveValue`', 'Plotting functions of the solutions of `NDSolveValue`']"
103,404,103_replicate_accounts_remaining_anchor,"['replicate', 'accounts', 'remaining', 'anchor', 'native', 'in', '', '', '', '']","['Replicate Anchor remaining accounts in native', 'Replicate Anchor remaining accounts in native', 'Replicate Anchor remaining accounts in native']"
104,392,104_munich_environmental_badge_minute,"['munich', 'environmental', 'badge', 'minute', 'last', 'at', 'get', 'can', 'how', 'the']","[""How can I get Munich's environmental badge at the last minute?"", ""How can I get Munich's environmental badge at the last minute?"", ""How can I get Munich's environmental badge at the last minute?""]"
105,390,105_handler_write_exception_custom,"['handler', 'write', 'exception', 'custom', 'when', 'set_error_handler', 'set_exception_handler', 'httpexception', 'to', 'meant']","['When to write a custom exception handler?', 'When to write a custom exception handler?', 'When to write a custom exception handler?']"
106,385,106_paperboy_manga_girl_blonde,"['paperboy', 'manga', 'girl', 'blonde', 'foreign', 'character', 'where', 'main', 'working', 'as']","['Manga where the main character is a foreign blonde girl working as a paperboy', 'Manga where the main character is a foreign blonde girl working as a paperboy', 'Manga where the main character is a foreign blonde girl working as a paperboy']"
107,383,107_normed_subset_space_dense,"['normed', 'subset', 'space', 'dense', 'isn', 'show', 'that', 'how', 'of', 'to']","[""How to show that a subset of a normed space isn't dense?"", ""How to show that a subset of a normed space isn't dense?"", ""How to show that a subset of a normed space isn't dense?""]"
108,374,108_lexicographical_sequences_parenthesis_length,"['lexicographical', 'sequences', 'parenthesis', 'length', 'correct', 'print', 'all', 'order', 'of', 'and']","['Print all correct parenthesis sequences of () and [] of length n in lexicographical order', 'Print all correct parenthesis sequences of () and [] of length n in lexicographical order', 'Print all correct parenthesis sequences of () and [] of length n in lexicographical order']"
109,352,109_hunting_desk_prof_star,"['hunting', 'desk', 'prof', 'star', 'wire', 'math', 'object', 'will', 'on', 'what']","[""What math object is the wire star on Will Hunting's prof's desk?"", ""What math object is the wire star on Will Hunting's prof's desk?"", ""What math object is the wire star on Will Hunting's prof's desk?""]"
110,351,110_pdftitle_hyperref_before_working,"['pdftitle', 'hyperref', 'before', 'working', 'as', 'from', 'not', 'title_for_layout', 'cakeresponse', 'viewing']","['pdftitle from hyperref not working as before', 'pdftitle from hyperref not working as before', 'pdftitle from hyperref not working as before']"
111,332,111_axle_thru_quick_release,"['axle', 'thru', 'quick', 'release', 'inside', 'of', '', '', '', '']","['Quick release inside of thru axle?', 'Quick release inside of thru axle?', 'Quick release inside of thru axle?']"
112,329,112_qed_formulas_symbol_last,"['qed', 'formulas', 'symbol', 'last', 'line', 'the', 'of', 'in', '', '']","['QED symbol in the last line of the formulas', 'QED symbol in the last line of the formulas', 'QED symbol in the last line of the formulas']"
113,314,113_dirichlet_invertible_eta_imaginary,"['dirichlet', 'invertible', 'eta', 'imaginary', 'viewed', 'real', 'part', 'single', 'variable', 'function']","['Is the real and imaginary part of the Dirichlet eta function invertible when viewed as single variable function?', 'Is the real and imaginary part of the Dirichlet eta function invertible when viewed as single variable function?', 'Is the real and imaginary part of the Dirichlet eta function invertible when viewed as single variable function?']"
114,312,114_minesweeper_clicks_for_,"['minesweeper', 'clicks', 'for', '', '', '', '', '', '', '']","['Clicks for minesweeper', 'Clicks for minesweeper', 'Clicks for minesweeper']"
115,312,115_integral_computing_limit_shortcut,"['integral', 'computing', 'limit', 'shortcut', 'an', 'for', 'of', 'the', '', '']","['Shortcut for computing the limit of an integral', 'Shortcut for computing the limit of an integral', 'Shortcut for computing the limit of an integral']"
116,302,116_clustering_hierarchical_documents_find,"['clustering', 'hierarchical', 'documents', 'find', 'hasmany', 'of', 'related', 'sort', 'number', 'on']","['Find hierarchical clustering of documents', 'Find hierarchical clustering of documents', 'Find hierarchical clustering of documents']"
117,287,117_blindness_man_his_faking,"['blindness', 'man', 'his', 'faking', 'blind', 'is', 'the', '', '', '']","['Is the blind man faking his blindness?', 'Is the blind man faking his blindness?', 'Is the blind man faking his blindness?']"
118,280,118_plainnat_natbib_latex_sort,"['plainnat', 'natbib', 'latex', 'sort', 'author', 'does', 'not', 'why', 'with', 'in']","['Why does ""plainnat"" not sort the author with natbib in LaTeX>', 'Why does ""plainnat"" not sort the author with natbib in LaTeX>', 'Why does ""plainnat"" not sort the author with natbib in LaTeX>']"
119,253,119_plugs_loud_ear_resistant,"['plugs', 'loud', 'ear', 'resistant', 'sounds', 'extremely', 'could', 'function', 'how', 'to']","['How could ear plugs resistant to extremely loud sounds function?', 'How could ear plugs resistant to extremely loud sounds function?', 'How could ear plugs resistant to extremely loud sounds function?']"
120,252,120_matplotlib_plot_axis_figure,"['matplotlib', 'plot', 'axis', 'figure', 'pyplot', 'axes', 'scatter', 'subplots', 'plots', 'stacked']","['X-axis in Matplotlib', 'Matplotlib plotting in wrong order', 'Add plot to a given figure in matplotlib']"
121,252,121_regex_regular_match_matching,"['regex', 'regular', 'match', 'matching', 'matches', 'characters', 'least', 'regexp', 'words', 'extract']","['Regex in javascript check string', 'what does this regex match?', 'Regex in javascript check string']"
122,248,122_lexicographical_sequences_parenthesis_length,"['lexicographical', 'sequences', 'parenthesis', 'length', 'correct', 'print', 'all', 'order', 'of', 'and']","['Print all correct parenthesis sequences of () and [] of length n in lexicographical order', 'Print all correct parenthesis sequences of () and [] of length n in lexicographical order', 'Print all correct parenthesis sequences of () and [] of length n in lexicographical order']"
123,245,123_websocket_websockets_polling_comet,"['websocket', 'websockets', 'polling', 'comet', 'connections', 'sockets', 'connection', 'socket', 'long', 'pong']","['Polling, Comet, WebSockets, etc', 'How to Frame Websocket Data in JavaScript', 'react-use-websocket How to open a websocket connection?']"
124,240,124_riemann_weierstrass_gave_counterexample,"['riemann', 'weierstrass', 'gave', 'counterexample', 'mapping', 'was', 'death', 'theorem', 'after', 'that']","[""Was it after Riemann's death that Weierstrass gave a counterexample to Riemann's mapping theorem?"", ""Was it after Riemann's death that Weierstrass gave a counterexample to Riemann's mapping theorem?"", ""Was it after Riemann's death that Weierstrass gave a counterexample to Riemann's mapping theorem?""]"
125,227,125_await_async_task_asynchronous,"['await', 'async', 'task', 'asynchronous', 'tasks', 'pending', 'dart', 'completed', 'wait', 'action']","['Use await outside async', 'Use await outside async', 'c# async without await']"
126,224,126_null_nullable_hasvalue_coalescing,"['null', 'nullable', 'hasvalue', 'coalescing', 'checking', 'tostring', 'is_null', 'nulls', 'ofnullable', 'operator']","[""What's the difference between a == null and a === null?"", ""Are 'null' and 'NULL' the same?"", ""Difference between 'a == null' and 'null == a'""]"
127,222,127_enum_enums_ordinal_constraining,"['enum', 'enums', 'ordinal', 'constraining', 'generic', 'values', 'as_secs', 'integer', 'value', 'variants']","['Enum to String?', 'Enum to String?', '""&"" in an enum?']"
128,221,128_universities_shortlist_candidates_german,"['universities', 'shortlist', 'candidates', 'german', 'notify', 'been', 'put', 'common', 'who', 'have']","['Is it common for German universities to not notify candidates who have not been put on a shortlist?', 'Is it common for German universities to not notify candidates who have not been put on a shortlist?', 'Is it common for German universities to not notify candidates who have not been put on a shortlist?']"
129,217,129_rulers_leaders_and_semaphores,"['rulers', 'leaders', 'and', 'semaphores', 'little', 'book', 'of', 'the', '', '']","['Leaders and Rulers', 'Leaders and Rulers', 'Leaders and Rulers']"
130,211,130_dependency_ioc_injection_di,"['dependency', 'ioc', 'injection', 'di', 'inject', 'injector', 'ilogger', 'container', 'autofac', 'dependencies']","['Dependency Injection', 'Should I avoid using Dependency Injection and IoC?', 'IoC, Dependency injection and constructor arguments']"
131,197,131_homework_later_your_similar,"['homework', 'later', 'your', 'similar', 'check', 'will', 'are', 'on', 'and', '']","['are ""I will check your homework later"" and ""I will check on your homework later"" similar?', 'are ""I will check your homework later"" and ""I will check on your homework later"" similar?', 'are ""I will check your homework later"" and ""I will check on your homework later"" similar?']"
132,188,132_branch_remote_repositories_branches,"['branch', 'remote', 'repositories', 'branches', 'git', 'pulling', 'repository', 'restrict', 'master', 'default']","['How do I check out a remote Git branch?', 'How do I check out a remote Git branch?', 'How to pull a remote branch into a new local branch']"
133,178,133_wrongness_aristotle_obvious_of,"['wrongness', 'aristotle', 'obvious', 'of', '', '', '', '', '', '']","['Obvious wrongness of Aristotle', 'Obvious wrongness of Aristotle', 'Obvious wrongness of Aristotle']"
134,174,134_king_afterwards_indian_castle,"['king', 'afterwards', 'indian', 'castle', 'away', 'then', 'attack', 'run', 'white', 'black']","[""Why does White castle into Black's attack in the King's Indian, and then run away afterwards?"", ""Why does White castle into Black's attack in the King's Indian, and then run away afterwards?"", ""Why does White castle into Black's attack in the King's Indian, and then run away afterwards?""]"
